kernel,config,compile_s,median_s,min_s,wall_med_s,reps,verified
fib,julesc-aot,0.020,0.0168,0.0167,0.0318,5,ok
fib,julesc-aot-O3,0.028,0.0168,0.0168,0.0318,5,ok
fib,julesc-jit-baseline,0.020,0.0163,0.0162,0.0318,5,ok
fib,julesc-jit-optimizing,0.020,0.0162,0.0162,0.0318,5,ok
fib,gcc-O0,0.030,0.4602,0.4586,0.4649,5,ok
fib,gcc-O2,0.057,0.0952,0.0937,0.1141,5,ok
fib,gcc-O3,0.063,0.0971,0.0959,0.1142,5,ok
fib,clang-O0,0.075,0.3332,0.3326,0.3647,5,ok
fib,clang-O2,0.065,0.1552,0.1544,0.1642,5,ok
fib,clang-O3,0.063,0.1549,0.1548,0.1643,5,ok
tak,julesc-aot,0.021,0.1949,0.1946,0.2144,5,ok
tak,julesc-aot-O3,0.044,0.1430,0.1427,0.1642,5,ok
tak,julesc-jit-baseline,0.021,0.1946,0.1945,0.2144,5,ok
tak,julesc-jit-optimizing,0.022,0.1950,0.1943,0.2144,5,ok
tak,gcc-O0,0.034,0.2663,0.2656,0.3146,5,ok
tak,gcc-O2,0.035,0.1562,0.1557,0.1642,5,ok
tak,gcc-O3,0.091,0.0999,0.0998,0.1141,5,ok
tak,clang-O0,0.054,0.3209,0.3205,0.3646,5,ok
tak,clang-O2,0.058,0.1842,0.1834,0.2143,5,ok
tak,clang-O3,0.056,0.1832,0.1827,0.2146,5,ok
primes,julesc-aot,0.020,0.2572,0.2570,0.2643,5,ok
primes,julesc-aot-O3,0.026,0.2573,0.2570,0.2643,5,ok
primes,julesc-jit-baseline,0.020,0.2573,0.2571,0.2644,5,ok
primes,julesc-jit-optimizing,0.020,0.2575,0.2574,0.2646,5,ok
primes,gcc-O0,0.030,0.2585,0.2582,0.2644,5,ok
primes,gcc-O2,0.037,0.2566,0.2565,0.2643,5,ok
primes,gcc-O3,0.039,0.2568,0.2566,0.2643,5,ok
primes,clang-O0,0.053,0.2579,0.2578,0.2643,5,ok
primes,clang-O2,0.060,0.1585,0.1583,0.1641,5,ok
primes,clang-O3,0.059,0.1583,0.1578,0.1641,5,ok
mandel,julesc-aot,0.020,0.1199,0.1170,0.1642,5,ok
mandel,julesc-aot-O3,0.030,0.0961,0.0959,0.1142,5,ok
mandel,julesc-jit-baseline,0.020,0.1035,0.1034,0.1140,5,ok
mandel,julesc-jit-optimizing,0.020,0.1034,0.1034,0.1142,5,ok
mandel,gcc-O0,0.031,0.1977,0.1976,0.2143,5,ok
mandel,gcc-O2,0.036,0.0894,0.0893,0.1141,5,ok
mandel,gcc-O3,0.037,0.0896,0.0895,0.1141,5,ok
mandel,clang-O0,0.055,0.2197,0.2195,0.2644,5,ok
mandel,clang-O2,0.066,0.0867,0.0866,0.1142,5,ok
mandel,clang-O3,0.069,0.0868,0.0866,0.1141,5,ok
flops,julesc-aot,0.020,0.1471,0.1468,0.1643,5,ok
flops,julesc-aot-O3,0.022,0.1482,0.1481,0.1642,5,ok
flops,julesc-jit-baseline,0.020,0.1467,0.1465,0.1642,5,ok
flops,julesc-jit-optimizing,0.020,0.1467,0.1466,0.1643,5,ok
flops,gcc-O0,0.030,0.2703,0.2701,0.3145,5,ok
flops,gcc-O2,0.034,0.1468,0.1467,0.1643,5,ok
flops,gcc-O3,0.034,0.1472,0.1469,0.1644,5,ok
flops,clang-O0,0.057,0.2708,0.2706,0.3147,5,ok
flops,clang-O2,0.062,0.1479,0.1478,0.1641,5,ok
flops,clang-O3,0.061,0.1479,0.1471,0.1643,5,ok
inthash,julesc-aot,0.019,0.0915,0.0913,0.1140,5,ok
inthash,julesc-aot-O3,0.030,0.0917,0.0916,0.1140,5,ok
inthash,julesc-jit-baseline,0.019,0.0914,0.0913,0.1140,5,ok
inthash,julesc-jit-optimizing,0.020,0.0914,0.0913,0.1141,5,ok
inthash,gcc-O0,0.031,0.1926,0.1923,0.2143,5,ok
inthash,gcc-O2,0.033,0.0742,0.0741,0.1141,5,ok
inthash,gcc-O3,0.034,0.0742,0.0741,0.1141,5,ok
inthash,clang-O0,0.056,0.2040,0.2032,0.2145,5,ok
inthash,clang-O2,0.063,0.0719,0.0717,0.1143,5,ok
inthash,clang-O3,0.065,0.0719,0.0716,0.1143,5,ok
