kernel,config,compile_s,median_s,min_s,wall_med_s,reps,verified
fib,julesc-aot,0.019,0.2021,0.2017,0.2144,7,ok
fib,julesc-aot-O3,0.021,0.2030,0.2023,0.2144,7,ok
fib,julesc-jit-baseline,0.021,0.2024,0.2018,0.2144,7,ok
fib,julesc-jit-optimizing,0.021,0.2023,0.2020,0.2145,7,ok
fib,gcc-O0,0.031,0.4579,0.4566,0.4651,7,ok
fib,gcc-O2,0.058,0.0941,0.0938,0.1141,7,ok
fib,gcc-O3,0.061,0.0968,0.0960,0.1142,7,ok
fib,clang-O0,0.057,0.3348,0.3335,0.3649,7,ok
fib,clang-O2,0.065,0.1554,0.1551,0.1645,7,ok
fib,clang-O3,0.062,0.1557,0.1550,0.1644,7,ok
tak,julesc-aot,0.021,0.1938,0.1934,0.2144,7,ok
tak,julesc-aot-O3,0.022,0.1231,0.1228,0.1643,7,ok
tak,julesc-jit-baseline,0.021,0.1937,0.1933,0.2145,7,ok
tak,julesc-jit-optimizing,0.021,0.1935,0.1933,0.2144,7,ok
tak,gcc-O0,0.039,0.2672,0.2659,0.3146,7,ok
tak,gcc-O2,0.036,0.1560,0.1556,0.1642,7,ok
tak,gcc-O3,0.082,0.0997,0.0995,0.1143,7,ok
tak,clang-O0,0.058,0.3199,0.3192,0.3649,7,ok
tak,clang-O2,0.064,0.1852,0.1830,0.2145,7,ok
tak,clang-O3,0.064,0.1840,0.1833,0.2145,7,ok
primes,julesc-aot,0.022,0.2586,0.2582,0.2650,7,ok
primes,julesc-aot-O3,0.024,0.2580,0.2578,0.2645,7,ok
primes,julesc-jit-baseline,0.022,0.2578,0.2574,0.2645,7,ok
primes,julesc-jit-optimizing,0.020,0.2579,0.2575,0.2644,7,ok
primes,gcc-O0,0.036,0.2592,0.2581,0.2645,7,ok
primes,gcc-O2,0.041,0.2565,0.2565,0.2645,7,ok
primes,gcc-O3,0.043,0.2570,0.2567,0.2672,7,ok
primes,clang-O0,0.060,0.2630,0.2595,0.2669,7,ok
primes,clang-O2,0.068,0.1588,0.1587,0.1647,7,ok
primes,clang-O3,0.066,0.1588,0.1584,0.1643,7,ok
mandel,julesc-aot,0.022,0.1083,0.1081,0.1151,7,ok
mandel,julesc-aot-O3,0.033,0.1084,0.1080,0.1142,7,ok
mandel,julesc-jit-baseline,0.021,0.1122,0.1120,0.1141,7,ok
mandel,julesc-jit-optimizing,0.021,0.1124,0.1121,0.1141,7,ok
mandel,gcc-O0,0.033,0.1988,0.1982,0.2145,7,ok
mandel,gcc-O2,0.064,0.0901,0.0898,0.1142,7,ok
mandel,gcc-O3,0.040,0.0898,0.0897,0.1142,7,ok
mandel,clang-O0,0.059,0.2205,0.2198,0.2646,7,ok
mandel,clang-O2,0.067,0.0871,0.0869,0.1143,7,ok
mandel,clang-O3,0.073,0.0872,0.0871,0.1142,7,ok
flops,julesc-aot,0.024,0.1497,0.1496,0.1644,7,ok
flops,julesc-aot-O3,0.021,0.1486,0.1483,0.1643,7,ok
flops,julesc-jit-baseline,0.020,0.1499,0.1494,0.1644,7,ok
flops,julesc-jit-optimizing,0.021,0.1495,0.1493,0.1643,7,ok
flops,gcc-O0,0.032,0.2719,0.2714,0.3147,7,ok
flops,gcc-O2,0.038,0.1473,0.1466,0.1643,7,ok
flops,gcc-O3,0.036,0.1471,0.1469,0.1643,7,ok
flops,clang-O0,0.059,0.2717,0.2709,0.3149,7,ok
flops,clang-O2,0.065,0.1483,0.1480,0.1644,7,ok
flops,clang-O3,0.064,0.1484,0.1482,0.1644,7,ok
inthash,julesc-aot,0.020,0.0910,0.0909,0.1142,7,ok
inthash,julesc-aot-O3,0.022,0.0912,0.0909,0.1142,7,ok
inthash,julesc-jit-baseline,0.021,0.1135,0.1134,0.1141,7,ok
inthash,julesc-jit-optimizing,0.021,0.1140,0.1136,0.1145,7,ok
inthash,gcc-O0,0.038,0.1936,0.1930,0.2145,7,ok
inthash,gcc-O2,0.046,0.0748,0.0745,0.1142,7,ok
inthash,gcc-O3,0.049,0.0747,0.0745,0.1149,7,ok
inthash,clang-O0,0.095,0.2045,0.2040,0.2212,7,ok
inthash,clang-O2,0.064,0.0716,0.0715,0.1142,7,ok
inthash,clang-O3,0.065,0.0718,0.0716,0.1142,7,ok
