kernel,config,compile_s,median_s,min_s,wall_med_s,reps,verified
fib,julesc-aot,0.018,0.2018,0.2014,0.2142,7,ok
fib,julesc-aot-O3,0.019,0.2038,0.2013,0.2143,7,ok
fib,julesc-jit-baseline,0.019,0.2016,0.2012,0.2142,7,ok
fib,julesc-jit-optimizing,0.019,0.2014,0.2013,0.2142,7,ok
fib,gcc-O0,0.029,0.4565,0.4562,0.4648,7,ok
fib,gcc-O2,0.053,0.0933,0.0930,0.1141,7,ok
fib,gcc-O3,0.058,0.0966,0.0949,0.1141,7,ok
fib,clang-O0,0.075,0.3360,0.3334,0.3646,7,ok
fib,clang-O2,0.066,0.1573,0.1548,0.1644,7,ok
fib,clang-O3,0.060,0.1555,0.1553,0.1641,7,ok
tak,julesc-aot,0.018,0.1950,0.1947,0.2143,7,ok
tak,julesc-aot-O3,0.019,0.1233,0.1228,0.1642,7,ok
tak,julesc-jit-baseline,0.019,0.1942,0.1939,0.2142,7,ok
tak,julesc-jit-optimizing,0.019,0.1944,0.1939,0.2142,7,ok
tak,gcc-O0,0.032,0.2702,0.2665,0.3146,7,ok
tak,gcc-O2,0.033,0.1568,0.1558,0.1641,7,ok
tak,gcc-O3,0.076,0.0996,0.0993,0.1140,7,ok
tak,clang-O0,0.051,0.3211,0.3203,0.3645,7,ok
tak,clang-O2,0.061,0.1834,0.1831,0.2143,7,ok
tak,clang-O3,0.057,0.1838,0.1833,0.2142,7,ok
primes,julesc-aot,0.018,0.2583,0.2581,0.2643,7,ok
primes,julesc-aot-O3,0.019,0.2585,0.2583,0.2646,7,ok
primes,julesc-jit-baseline,0.020,0.2578,0.2577,0.2644,7,ok
primes,julesc-jit-optimizing,0.019,0.2579,0.2577,0.2644,7,ok
primes,gcc-O0,0.034,0.2582,0.2581,0.2643,7,ok
primes,gcc-O2,0.036,0.2565,0.2563,0.2643,7,ok
primes,gcc-O3,0.050,0.2576,0.2574,0.2644,7,ok
primes,clang-O0,0.055,0.2596,0.2586,0.2644,7,ok
primes,clang-O2,0.066,0.1601,0.1592,0.1643,7,ok
primes,clang-O3,0.060,0.1594,0.1590,0.1642,7,ok
mandel,julesc-aot,0.019,0.1084,0.1082,0.1141,7,ok
mandel,julesc-aot-O3,0.020,0.1083,0.1081,0.1140,7,ok
mandel,julesc-jit-baseline,0.020,0.1124,0.1123,0.1141,7,ok
mandel,julesc-jit-optimizing,0.021,0.1125,0.1123,0.1141,7,ok
mandel,gcc-O0,0.030,0.1993,0.1985,0.2144,7,ok
mandel,gcc-O2,0.038,0.0900,0.0898,0.1141,7,ok
mandel,gcc-O3,0.037,0.0899,0.0897,0.1141,7,ok
mandel,clang-O0,0.056,0.2202,0.2199,0.2644,7,ok
mandel,clang-O2,0.064,0.0870,0.0868,0.1141,7,ok
mandel,clang-O3,0.061,0.0872,0.0870,0.1141,7,ok
flops,julesc-aot,0.020,0.1494,0.1491,0.1642,7,ok
flops,julesc-aot-O3,0.020,0.1483,0.1481,0.1643,7,ok
flops,julesc-jit-baseline,0.019,0.1496,0.1492,0.1642,7,ok
flops,julesc-jit-optimizing,0.019,0.1493,0.1490,0.1642,7,ok
flops,gcc-O0,0.031,0.2754,0.2712,0.3146,7,ok
flops,gcc-O2,0.033,0.1468,0.1461,0.1642,7,ok
flops,gcc-O3,0.035,0.1468,0.1466,0.1642,7,ok
flops,clang-O0,0.054,0.2718,0.2705,0.3146,7,ok
flops,clang-O2,0.059,0.1480,0.1479,0.1643,7,ok
flops,clang-O3,0.060,0.1481,0.1478,0.1642,7,ok
inthash,julesc-aot,0.020,0.0909,0.0908,0.1141,7,ok
inthash,julesc-aot-O3,0.020,0.0909,0.0908,0.1141,7,ok
inthash,julesc-jit-baseline,0.019,0.1134,0.1133,0.1140,7,ok
inthash,julesc-jit-optimizing,0.019,0.1134,0.1133,0.1140,7,ok
inthash,gcc-O0,0.031,0.1930,0.1923,0.2144,7,ok
inthash,gcc-O2,0.038,0.0743,0.0742,0.1141,7,ok
inthash,gcc-O3,0.034,0.0743,0.0742,0.1141,7,ok
inthash,clang-O0,0.056,0.2043,0.2038,0.2143,7,ok
inthash,clang-O2,0.057,0.0716,0.0715,0.1141,7,ok
inthash,clang-O3,0.059,0.0715,0.0714,0.1140,7,ok
